metric,value
accuracy,0.9893203883495145
precision,0.9875776397515528
recall,0.9784615384615385
f1_score,0.9829984544049459
error_rate,0.010679611650485477
tn,1402.0
fp,8.0
fn,14.0
tp,636.0
